21:13:55 count 929 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 925}
21:14:12 count 468 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 464}
21:14:30 count 456 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 452}
21:14:49 count 456 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 452}
21:15:15 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:15:38 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:15:56 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:16:12 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:16:28 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:16:43 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:16:58 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:17:13 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:17:28 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:17:43 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:17:58 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:18:13 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:18:28 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:18:43 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:18:58 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:19:13 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:19:28 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:19:43 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:19:58 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:20:14 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:20:29 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:20:44 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:20:59 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:21:14 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:21:29 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:21:44 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:21:59 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:22:14 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:22:29 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:22:44 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:22:59 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:23:15 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:23:30 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:23:45 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:24:00 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
21:24:15 count 453 max_fd 2556 {'kqueue': 1, 'socket': 3, 'vnode': 449}
